시설명,userid,평점,코멘트
건양대학교병원,hnkobi16s,4,가격 대비 매우 만족스러운 경험이었습니다.
오렌즈 신제주점,ckhfz3sm7,2,뷰가 별로였습니다.
노원구 자연체험시설,oyzvedxzn,3,편리한 위치에 있어 접근하기 쉬웠습니다.
탑클래스치과의원,ntnexlp37,4,자연 경관이 매우 아름답습니다.
독일안경원,gcldio3sp,3,가족 모두가 만족한 여행이었습니다.
밝은성모안과 강남점,idjdynht9,5,체험 프로그램이 매우 유익했습니다.
창녕군민탁구장,qtnpk3l09,2,여름에는 너무 더웠습니다.
테지움사파리,ffbrp7hjc,1,가격 대비 만족도가 낮았습니다.
대한안과의사회 울산 밝은안과 ,yamnijlh9,1,아이들과 함께하기에는 불편한 점이 많았습니다.
의정부환한미소치과의원,lzfci7or3,5,주차 공간이 넉넉해서 편리했어요.
증평군 공영주차장,mhzabgffn,4,추천합니다!
파주시체육시설,clrjmf2sn,2,활동이 다양하지 않았습니다.
가평군 상면생활체육공원,bzpnve443,3,청결한 환경과 좋은 서비스에 만족했습니다.
곡성군 심청효문화센터시설,xcjvebv2a,1,시설 이용이 매우 불편했습니다.
김포시 함상공원,bcrotmjzx,1,시설이 낡고 깨끗하지 않았습니다.
남해군 공영주차장,zduemz6oh,1,조금 아쉬운 부분이 있었어요.
군포시 초막골생태공원,lbpkesrbd,3,편안하고 조용한 분위기에서 휴식을 취할 수 있었습니다.
카페 하우짓,vwnhfc7jr,2,시설이 너무 붐비고 혼잡했습니다.
진주레일바이크,aostsmb6p,5,자연 경관이 매우 아름답습니다.
강동병원,aaujxh0wf,3,편안하고 조용한 분위기에서 휴식을 취할 수 있었습니다.
안경사랑,dhhmqiq8f,1,가격 대비 품질이 좋지 않았습니다.
국립대구과학관,njfxfviuh,5,가족 여행에 추천합니다.
팀바디매스,xxgewod7a,5,시설이 매우 잘 관리되고 있었습니다.
진주시 시립공원,imxnvcqhg,3,아이들이 즐겁게 놀 수 있는 다양한 시설이 마련되어 있습니다.
고성공룡박물관,eelbhherz,5,전망대에서 보는 풍경이 최고였습니다.
창명제어기술,ocarvh5kj,4,전망대에서 보는 풍경이 최고였습니다.
송파구 보건소,ojsndb1ju,5,가족 모두가 만족한 여행이었습니다.
대한병원,wwzdwyr7a,4,주변 경관이 아름답습니다.
대한안과의사회 아이윤안과병원 ,yrlgyeuk3,5,전망대에서 보는 풍경이 최고였습니다.
서정치과의원,bndvbth9i,4,편리한 위치에 있어 접근하기 쉬웠습니다.
구로구 체육시설,gtdyz8abk,3,추천합니다!
상주시 농기계임대사업,pesbc6hy0,5,친구들에게 추천할 만한 곳입니다.
대한안과의사회 아이윤안과병원 ,bqdkbbjps,4,자연 경관이 매우 아름답습니다.
평창군보건의료원,trdgmf6j1,2,다양한 시설과 편의시설이 부족했습니다.
오아시스스포츠,mesjhh8m4,5,다양한 편의시설과 친절한 서비스가 인상적이었습니다.
서울영상의학과·내과의원,uhcwm0imi,4,친절한 직원들이 인상적이었습니다.
의정부을지대학교병원,yrzgwj3t2,5,휴식을 취하기에 최적의 장소입니다.
군포시 노동종합복지관,wvppr2l8w,1,친절한 직원들이 부족했습니다.
송파구 보건소,thhmnwpde,2,편의시설이 부족했습니다.
동두천시 공영주차장,tshcl26zo,4,한 번쯤은 꼭 가볼 만한 곳입니다.
국립대구기상과학관,uanua2y5c,1,시설이 조금 낡았지만 여전히 좋았습니다.
김재성 치과의원,weewootdi,4,서비스와 시설 모두 훌륭했습니다.
제주곶자왈도립공원,riepzmxjl,5,청결한 환경과 좋은 서비스에 만족했습니다.
삼봉휴양림,iuves0t2p,4,친절한 직원들이 인상적이었습니다.
남양주시 보건소,wzigmxzb6,3,여기서 많은 추억을 만들었어요.
속리산말티재휴양림,huthctne3,1,가격 대비 만족도가 낮았습니다.
태백시 주차장,lrilsmygr,2,가격 대비 품질이 좋지 않았습니다.
양주시 에코스포츠센터,kmbmjbm5z,5,청결한 환경과 좋은 서비스에 만족했습니다.
철원군 화강문화센터,oopchvkw4,2,청결한 환경이 아니었습니다.
제주공룡랜드,wrucw40ub,4,시설 내 모든 것이 잘 정돈되어 있어 사용이 편리했습니다.
여수시 사회복지관,qgjwmd1ja,1,시설 내부가 좁고 불편했습니다.
청주마이크로병원,bylaobayk,5,전체적으로 기대 이상이었습니다.
순천향대학교서울병원,prjpvndjm,4,휴식을 취하기에 최적의 장소입니다.
창녕군민탁구장,fojil2ntm,4,시설이 매우 깔끔하고 현대적이었습니다.
대영목욕탕,msoqbit7s,5,자연 경관이 매우 아름답습니다.
대구동산병원,noqyyy1lt,3,친구들과 함께 와서 즐거운 시간을 보냈습니다.
교보문고 울산점,qfiks29w1,5,시설이 현대적이고 매우 잘 유지되고 있습니다.
서울아산병원,rqcta9wwa,4,여유롭고 편안한 분위기가 좋았습니다.
곡성군 자연휴식지,ttrfzkead,3,뷰가 정말 아름다웠어요!
선치과병원,mkoejcpjc,2,시설 관리가 잘 안되고 있었습니다.
익산보석박물관,ozskgi2ti,2,시설 내 모든 것이 정비되지 않았습니다.
김해중앙병원,qdvvu6zq7,2,여름에는 너무 더웠습니다.
온고을장례식장,mgnbx6zlc,2,가격 대비 품질이 좋지 않았습니다.
대한안과의사회 서울성모안과 ,fohiih130,3,친구들에게 추천할 만한 좋은 곳입니다.
두류수영장,sbluq1hx5,5,다음에 또 오고 싶어요.
하늘안과,wqcxdeb59,2,시설 사용이 불편했습니다.
서귀포휴양림,ouzpkwitm,4,다양한 편의시설과 친절한 서비스가 인상적이었습니다.
성남중앙병원,zsgnpq006,3,서비스가 정말 좋았어요.
보성군태백산맥문학관,dornvd8dz,1,시설이 너무 붐비고 혼잡했습니다.
대한안과의사회 신촌연세안과 ,gzobdmy7m,1,자연 경관이 좋지 않았습니다.
하동군 구재봉 자연휴양림,skkpyglpi,5,가족 여행에 추천합니다.
남한산성 행궁,xndonqfw8,4,휴식을 취하기에 최적의 장소였습니다.
위클리피플 주간인물 ,yeaetx8d7,2,시설이 불편하고 깨끗하지 않았습니다.
롯데시네마,dfvndur3f,4,자연 경관이 매우 아름답습니다.
동군산종합병원,cgkvvvn4x,4,다양한 활동과 프로그램이 있어 좋았습니다.
대한미용사회 충청북도지회,oxrxmzzbq,4,가격 대비 만족도가 높습니다.
군포시 주차장,jmpwgajnz,1,편의시설이 부족해서 불편했습니다.
제주절물휴양림,upferc14h,3,한 번쯤은 꼭 가볼 만한 곳입니다.
울산 남구 공영주차장,gtivg50ds,1,시설이 불편하고 깨끗하지 않았습니다.
김해가야테마파크,fissxshvt,5,친구들과 함께 와서 즐거운 시간을 보냈습니다.
청주푸른병원,uvqtisrtc,2,가격 대비 품질이 좋지 않았습니다.
군포시 주차장,oetdru3yq,3,친구들에게 추천할 만한 곳입니다.
커피놀이터,klzqo1ebo,3,다양한 편의시설이 있어 편리했습니다.
남해군 원예예술촌,fbccehrob,1,시설의 위치가 불편해서 접근성이 떨어졌습니다.
부산진구 체육시설,larkyvxvf,2,조금 아쉬운 부분이 있었어요.
국립백두대간수목원,ifhucr5ts,5,시설이 현대적이고 깔끔합니다.
클로엔 성형외과,gktnjygum,4,주차 공간이 넉넉해서 편리했어요.
홍천군 국민체육센터,spduq7vs1,3,추천합니다!
클로엔 성형외과,eaqkib6iw,3,가족 여행에 추천합니다.
운악산휴양림,cnrdewdg2,1,시설이 매우 실망스러웠습니다.
수리산 상상마을,xgzuik963,1,가격 대비 품질이 좋지 않았습니다.
아이앤에스,mbqsvndjd,3,가성비가 좋습니다.
제주특별자치도 체육시설,hkipu76zm,1,시설 내 모든 것이 정돈되지 않았습니다.
거창군 주차장,hcmuaiw6m,4,뷰가 정말 아름다웠어요!
원치과,eppdws4y2,5,여유롭고 편안한 분위기가 좋았습니다.
서귀포휴양림,azahjdw97,4,매우 만족합니다.
경주성모안과,zdmwfvn4x,4,시설 내 편의시설이 잘 갖춰져 있었습니다.
열정치과,stivmzzws,5,시설 내부가 넓고 쾌적합니다.
이천시 보건소,xydnjds7y,2,편의시설이 부족해서 불편했습니다.
원주시 체육시설,cabed5ikp,1,서비스와 시설 모두 개선이 필요합니다.
진천군 보건소,unozvwtxm,2,직원들이 조금 더 친절했으면 좋겠습니다.
춘천시공영주차장,bnmiyfhdf,5,가족 여행에 추천합니다.
안산시 체육시설,omvfj7iuh,2,편의시설이 부족했습니다.
E-world 구 우방랜드 ,fddpd9xtt,1,가족 모두가 만족하지 않았습니다.
양주시 덕정돔구장,rmvfzz2tn,2,시설 이용이 불편했고 안내가 부족했습니다.
강남베스트성모안과,nsrsdfr1d,3,전망대에서 보는 풍경이 최고였습니다.
대한기술교육학원,woxxws2iu,5,정말 훌륭한 시설입니다!
수원독일보청기,yztfwqs93,4,시설 내부가 넓고 쾌적합니다.
금천구 문화체육시설,pjweh1lhg,2,가족 모두가 만족하지 않았습니다.
예이재한방병원,gtualfddy,5,직원들이 친절하고 도움이 많이 되었습니다.
경일대학교,qsvtebikl,4,휴식을 취하기에 최적의 장소입니다.
동작구 체육시설,bxtck3wq7,4,깨끗하고 편안했어요.
인제군 국민여가 캠핑장,kckkb3oez,1,직원들이 조금 더 친절했으면 좋겠습니다.
대한안과의사회 새빛안과병원 ,igxibsl78,5,시설이 매우 잘 관리되고 있었습니다.
횡성군 공영주차장,jijugq745,5,깨끗하고 정돈된 환경이 좋았습니다.
강서구 평생학습관,yidnykn3m,2,시설 내 모든 것이 정비되지 않았습니다.
서울마디정형외과의원,gluhjhga5,5,친구들에게 추천할 만한 곳입니다.
속리산말티재휴양림,najvx57p1,5,주차 공간이 넉넉해서 편리했어요.
노블리안 치과,slqpwni2g,5,청결한 환경과 좋은 서비스에 만족했습니다.
희리산휴양림,bxttdt8zx,5,다양한 편의시설과 친절한 서비스가 인상적이었습니다.
CGV,daywqgzo6,5,가성비가 좋습니다.
안산시 공영주차장,nmjfxoorl,2,주변 자연 경관이 좋지 않았습니다.
휘트니스H,ycrzvstff,4,서비스와 시설 모두 훌륭했습니다.
방림원,iwqpu4oui,3,아이들과 함께 즐거운 시간을 보냈어요.
태백시 주차장,ifpefm4t8,5,다양한 활동과 프로그램이 있어 좋았습니다.
진도군 문화시설,cnkvh9rxb,1,시설이 조금 낡았지만 여전히 좋았습니다.
국립세종수목원,bskqutasr,1,전반적으로 만족스럽지 않았습니다.
박달나무한의원,ygfqkxyqh,3,휴식을 취하기에 최적의 장소였습니다.
강원효장례문화원,hhumoawbz,2,다양한 프로그램과 활동이 부족했습니다.
명복공원,szpcuc78p,3,전반적으로 만족스러운 경험이었습니다.
백성병원,clorwqalv,5,서비스와 시설 모두 훌륭했습니다.
수원우리병원,ffrchy5zs,3,뷰가 정말 아름다웠어요!
씨엔씨재활요양병원,yxvjg690j,5,시설이 현대적이고 매우 잘 유지되고 있습니다.
장령산자연휴양림,rudgq0o91,4,시설 이용이 매우 편리하고 좋았습니다.
메트로치과,bsnqobb3d,2,시설 내부가 좁고 불편했습니다.
인제군 사회복지관 시설,tjnplcznw,1,활동이 다양하지 않았습니다.
대한안과의사회 서울성모안과 ,slvbywv9r,5,시설이 현대적이고 매우 잘 유지되고 있습니다.
진주시 청소년수련관,omzwdf6i1,1,환경이 청결하지 않았습니다.
현대직업전문학교,vfuhr81vt,3,친구들과 함께 와서 즐거운 시간을 보냈습니다.
아이엠병원,aanvacp4o,5,다시 방문하고 싶어요.
서귀포 치유의 숲,gvkdxds7r,2,전반적으로 만족스럽지 않았습니다.
미천골휴양림,mblgbxpqd,2,시설 사용이 매우 불편했습니다.
광명새움병원,pchwg5tff,5,시설 사용이 매우 편리했습니다.
인천광역시 미추홀구 보건소,qzdgjo11z,1,체험 프로그램이 유익하지 않았습니다.
밝은성모안과 강남점,ihgdn0n0u,1,휴식을 취하기에는 적합하지 않았습니다.
한국안전체험관,ovgguekab,1,서비스와 시설 모두 개선이 필요합니다.
상주시 공영유료주차장,xqztelxks,4,청결한 환경과 좋은 서비스에 만족했습니다.
김해낙동강레일파크,bvfxxzalt,5,매우 만족합니다.
철원군 종합문화복지센터,tapst7yq4,1,시설 이용이 매우 불편했습니다.
㈜일성여행사,grsdy4d3c,4,시설 이용이 편리하고 안내도 잘 되어 있습니다.
대한안과의사회 전주 푸른안과 ,csdjsnyd5,3,위치가 좋아서 접근성이 뛰어납니다.
서초구 체육시설,zmfbpd6p3,4,전반적으로 만족스러운 경험이었습니다.
과천시 공영주차장,xxbin43sc,5,시설의 위치가 좋아 접근성이 뛰어났습니다.
김기록치과,xegvhnn8w,3,여름에 가면 더욱 좋을 것 같아요.
구리시 주민자치센터,bzunj849j,5,다양한 활동과 프로그램이 있어 좋았습니다.
김해중앙병원,qjtzxzahv,4,전체적으로 기대 이상이었습니다.
만장굴,tyhzhtmbl,5,시설이 매우 잘 관리되고 있었습니다.
닥터뷰치과의원,bwenktgc5,2,서비스와 시설이 매우 실망스러웠습니다.
마포구 공영주차장,qdafj1uga,3,시설이 매우 깔끔하고 현대적이었습니다.
한국건강관리협회 인천광역시지부,pgphxdbiu,2,다양한 활동과 프로그램이 부족했습니다.
마포구 공영주차장,lesbabwhn,5,시설 관리가 잘 되어 있었습니다.
나우리 요양병원,gmuitjc0r,3,자연과 함께하는 시간이 힐링이 되었어요.
인천광역시 연수구 공영주차장,knuyxvgbm,2,시설 내부가 좁고 불편했습니다.
NH농협 경남본부,wdrrxcn18,2,시설 내부가 좁고 불편했습니다.
인제군 주차장 시설,nkafx6cvz,1,전망대에서 보는 풍경이 실망스러웠습니다.
삼릉,iiguy6s4l,2,다양한 시설과 편의시설이 부족했습니다.
창원시 보건소,svaut4m83,5,전망대에서 보는 풍경이 최고였습니다.
담양국민체육센터,vhphsz6n7,3,매우 만족합니다.
종묘,zfrpm5645,4,여유롭고 편안한 분위기가 좋았습니다.
전하울산촌생태마을,ttuaykpsu,5,위치가 좋아서 접근성이 뛰어납니다.
참사랑문화의집,zusynyhxl,3,직원들이 친절하고 도움이 많이 되었습니다.
보성군청소년문화의집,ibwpyu9fw,5,시설 내 편의시설이 잘 갖춰져 있었습니다.
사람과자연협동조합,jzyietmp9,4,직원들이 친절하고 도움이 많이 되었습니다.
인천광역시 미추홀구 주민자치센터,nqzswress,4,친구들에게 추천할 만한 좋은 곳입니다.
동의과학대학교 디지털평생학습원,wvcxb01eq,4,전망대에서 보는 풍경이 최고였습니다.
제주도립김창열미술관,ncflo6jux,1,시설 사용이 매우 불편했습니다.
대한안과의사회 조병춘안과 ,lelwxjull,2,다양한 프로그램과 활동이 부족했습니다.
춘천 삼악산 호수케이블카,mdxqgy03i,3,자연 경관이 매우 아름답습니다.
진주시립 이성자미술관,bachd8wjr,2,체험 프로그램이 유익하지 않았습니다.
엠플러스병원,defar2gk0,3,뷰가 정말 아름다웠어요!
서울화이트치과병원,vpwkgdfuy,5,시설 내 편의시설이 잘 갖춰져 있었습니다.
분당밝은안과병원,yhnlttiw7,3,가격 대비 만족도가 높았습니다.
의령 벽계야영장,gfraraxcn,3,아이들과 함께 즐거운 시간을 보냈어요.
칠보산휴양림,zpsjhfrjf,2,편의시설이 부족해서 불편했습니다.
보성군비봉공룡공원,ozqiaghc4,1,시설이 불편하고 깨끗하지 않았습니다.
창녕국민체육센터,dqgtnui7q,2,다양한 활동과 프로그램이 부족했습니다.
군포시 평생학습원,wcgtnlmgz,3,다양한 활동을 즐길 수 있어서 좋았어요.
김포우리병원,exrkrol00,3,가족 여행에 추천합니다.
보성군청소년문화의집,znoqwyruo,5,시설 내 모든 것이 잘 정돈되어 있어 사용이 편리했습니다.
인천광역시 중구 체육시설,zzwbfsfvk,1,자연 경관이 좋지 않았습니다.
세종시 공영주차장,aackhnal2,4,친구들과 함께 와서 즐거운 시간을 보냈습니다.
안양시 체육시설,bqlqr6cjk,2,위치가 불편해서 접근성이 떨어졌습니다.
증평군 공영주차장,ltsiyclj3,4,친구들에게 추천할 만한 좋은 곳입니다.
구리시 주민자치센터,srwbml54l,5,한 번쯤은 꼭 가볼 만한 곳입니다.
해남군 공영주차장,yocqdzbsb,5,휴식을 취하기에 최적의 장소입니다.
천제연폭포,rsbiq5xdo,4,시설이 매우 깔끔하고 현대적이었습니다.
의령 국민체육센터,tzpvd3fmh,1,시설 내 모든 것이 정비되지 않았습니다.
김영태신경외과의원,lyrjzqf01,2,청결한 환경이 아니었습니다.
청주마이크로병원,olzqnopfn,4,전반적으로 만족스러운 경험이었습니다.
창녕군민체육관,xrlfrkkyu,5,시설 내 모든 것이 잘 정돈되어 있어 사용이 편리했습니다.
아세안자연휴양림,qbmcklfp2,1,서비스와 시설 모두 개선이 필요합니다.
성북구 공영주차장,gbwzvq7ys,2,시설이 너무 붐비고 혼잡했습니다.
대전국립숲체원,nhsqa8pk4,4,시설 이용이 편리하고 안내도 잘 되어 있습니다.
CM세무직업전문학교,tdzsruozy,3,추천합니다!
진주시 청소년수련관,foylaqmnx,2,시설의 위치가 불편해서 접근성이 떨어졌습니다.
인천광역시 미추홀구 국민체육센터,izrbnr2c5,4,자연 경관이 매우 아름답습니다.
가평군 가평테니스장,vhttrgd1a,3,아이들과 함께 즐거운 시간을 보냈어요.
양주시 에코실외구장,frrimffcm,3,시설 내 편의시설이 잘 갖춰져 있었습니다.
서울화이트치과병원,wyysud14m,4,다양한 활동과 프로그램이 있어 좋았습니다.
라온치과병원 창원마산점 ,uepodgdns,3,주변 경관이 아름답습니다.
대명콘도 양평 ,aadmzudry,1,시설 내 모든 것이 정비되지 않았습니다.
백운산휴양림,adglryzrc,2,가격 대비 품질이 좋지 않았습니다.
노원구 보건소,rpcyckrg0,3,친절한 직원들이 인상적이었습니다.
목포시 공영주차장,ugxwlxrjx,4,환경이 매우 청결하고 좋았습니다.
광주시 주민자치센터,hhhgia9ua,1,자연과의 접촉이 부족했습니다.
국립수목원,jwgayrd06,2,가격 대비 만족도가 낮았습니다.
청담한방병원,htivnjizc,1,다양한 프로그램과 활동이 부족했습니다.
옥천군농업기술센터,onqeyo7l5,2,가격 대비 품질이 좋지 않았습니다.
사람사랑치과,upawueiyu,5,재방문 의사 있습니다.
WS치과병원,gdbdkulna,4,깨끗하고 편안했어요.
청주시립요양병원,ycdszkrur,3,직원들이 친절하고 도움이 많이 되었습니다.
고성군 공설주차장,sebbzpk9z,3,시설 이용이 매우 편리하고 좋았습니다.
수요양병원,puwrfce2q,2,가격 대비 만족도가 낮았습니다.
강릉원주대학교 치과병원,ukneyln8b,2,시설 사용이 매우 불편했습니다.
해남군 공영주차장,dudhff1dl,5,친구들에게 추천할 만한 좋은 곳입니다.
시흥시 에코센터,oifvpc3me,5,아이들과 함께 즐거운 시간을 보냈어요.
독일안경원,znupjyry4,1,편의시설이 부족했습니다.
마라해양도립공원,biaeb7snl,4,편안하고 조용한 분위기에서 휴식을 취할 수 있었습니다.
태백시 보건소,dgchplfy1,5,가족 여행에 추천합니다.
대전병원,xtlbeo97h,5,다양한 활동을 즐길 수 있어서 좋았어요.
창명제어기술,nimsn3pl3,5,시설의 위치가 좋아 접근성이 뛰어났습니다.
양구 두타연,wmslm7ukn,4,전반적으로 만족스러운 경험이었습니다.
휘트니스H,eozvyiig3,5,친절한 직원들이 인상적이었습니다.
세방한의원,aoucom3lk,1,전망대에서 보는 풍경이 실망스러웠습니다.
부산디지털대학교,aswbod68k,4,가격 대비 매우 만족스러운 경험이었습니다.
대한안과의사회_태안과,hasenrflv,4,재방문 의사 있습니다.
아이투아이안경원,bsyeylkd4,1,아이들과 함께하기에는 불편한 점이 많았습니다.
세종문화회관,ysfqmu4g3,5,직원들이 친절하고 도움이 많이 되었습니다.
밀양아리랑 우주천문대,obhlyyvvb,5,친구들에게 추천할 만한 좋은 곳입니다.
인제군 사회복지관 시설,ycuqxwgd3,5,여름에 가면 더욱 좋을 것 같아요.
대한안과의사회-우리안과,kqeixze0t,4,여름에 가면 더욱 좋을 것 같아요.
양주실내체육관,vvmpn1eo4,3,정말 훌륭한 시설입니다!
함안군 보건소,dqpqbdmjr,4,다양한 편의시설이 있어 편리했습니다.
안양샘병원,bmuvtlie9,2,체험 프로그램이 유익하지 않았습니다.
상주자전거박물관,psnqlnuqp,3,시설이 매우 깔끔하고 현대적이었습니다.
뿌리병원,reybcfqlc,5,시설이 매우 잘 관리되고 있었습니다.
부산신세계안과,fnxtq7xtj,5,친구들에게 추천할 만한 곳입니다.
NC다이노스 프로야구단,rxorc6w4k,3,음식이 맛있었고 다양한 메뉴가 제공되었습니다.
동두천시 주민자치센터,nhjudcr22,1,시설이 현대적이지 않고 매우 낡았습니다.
이플란치과,arfehn75j,3,가격 대비 매우 만족스러운 경험이었습니다.
영월군 지정문화재,jmlaqajqa,4,시설 사용이 매우 편리했습니다.
건강과성박물관,jiuqowr9w,1,시설이 불편하고 깨끗하지 않았습니다.
유디중앙로치과의원,egknnbgti,2,한 번쯤 가볼 만하지만 다시 방문하고 싶지는 않습니다.
화성시 공영주차장,xtwkfh4cr,4,서비스가 정말 좋았어요.
수원시 화성관람료,otrkm22i7,5,다양한 편의시설이 있어 편리했습니다.
LG전자베스트샵학동점,miikkihnw,3,주차 공간이 넉넉해서 편리했어요.
함양군 체육시설,urpllkaqu,5,직원들이 친절하고 도움이 많이 되었습니다.
하동군 금오산어드벤처 레포츠 시설물,nnjlauj1u,2,편의시설이 부족했습니다.
강원효장례문화원,dvbrzeeld,4,시설 사용이 매우 편리했습니다.
가평군 설악야구장,plpvzxgby,2,서비스와 시설 모두 개선이 필요합니다.
서재문화체육센터,blxdju04f,2,아이들이 놀기에 안전하지 않았습니다.
군포시 보건소,mqwbcfjzs,3,서비스와 시설 모두 훌륭합니다.
두타산휴양림,jfasz9zzd,3,다양한 활동과 프로그램이 있어 좋았습니다.
파주시공영주차장,ptjun7ava,2,전반적으로 만족스럽지 않았습니다.
LG전자베스트샵학동점,hnhyrfilr,4,다양한 시설과 편의시설이 있어 매우 편리했습니다.
중랑구 체육시설,yhvcgybn6,1,서비스와 시설 모두 개선이 필요합니다.
인천광역시 미추홀구 보건소,thozn9lmp,2,직원들이 조금 더 친절했으면 좋겠습니다.
명품장례문화원,ydvruc5ir,4,친절한 직원들이 인상적이었습니다.
홍천군미술관,wpxkseuxu,1,아이들과 함께하기에는 불편한 점이 많았습니다.
충남 서산의료원,gjesyy1l7,2,서비스와 시설이 매우 실망스러웠습니다.
대명리조트거제,mtgmlvv39,2,가격 대비 만족도가 낮았습니다.
김치나라,achqtytkx,5,음식이 맛있었고 다양한 메뉴가 제공되었습니다.
대한기술교육학원,iotgoy7e2,2,전반적으로 만족스럽지 않았습니다.
부산미남병원,cgejx21v0,1,다양한 시설과 편의시설이 부족했습니다.
대구굿모닝안과,zskjs611q,2,체험 프로그램이 유익하지 않았습니다.
대청병원,qlhtlilui,4,다양한 활동과 프로그램이 있어 좋았습니다.
거제조선해양문화관,nfald5z0v,2,가족 모두가 만족하지 않았습니다.
양구통일관,vbsahwvud,1,조금 붐비긴 했지만 전체적으로 만족합니다.
상주장례식장,zinkbamwj,4,뷰가 정말 아름다웠어요!
증평군 공영주차장,lunchrk8w,5,가격 대비 매우 만족스러운 경험이었습니다.
한국기계산업진흥회 기술교육원,uymnwi66w,3,가족 여행에 추천합니다.
CM세무직업전문학교,xwjlxwoyz,2,자연과의 접촉이 부족했습니다.
1001안경콘택트 일도점,odgefc4wp,5,재방문 의사 있습니다.
운문산휴양림,bjuspodrl,3,시설이 현대적이고 매우 잘 유지되고 있습니다.
서울마디정형외과의원,wpsnx8kuo,2,친구들에게 추천하기 어려운 곳입니다.
김포시 금빛수로 수상레저시설 및 썰매장,sognr0hfp,1,주변 자연 경관이 좋지 않았습니다.
진도군 문화시설,ucwnkqlhh,4,친구들에게 추천할 만한 좋은 곳입니다.
진도군 문화시설,kzymvrjm3,3,아이들이 놀기에 안전한 환경입니다.
연세에스병원,vgaaxm6u8,4,친구들에게 추천할 만한 곳입니다.
양천구 체육시설,xhenfs19w,3,환경이 매우 청결하고 좋았습니다.
㈜한성브라보,fpayvlbex,4,친절한 직원들이 인상적이었습니다.
가평군 가평야구장,rsdkv7hkx,1,서비스와 시설이 매우 실망스러웠습니다.
동작구 공영주차장,vuynhq8is,4,청결한 환경과 좋은 서비스에 만족했습니다.
김안과병원,lxbtuflg3,1,다양한 프로그램과 활동이 부족했습니다.
구리시 시립테니스장,dmskszt4r,1,다양한 프로그램과 활동이 부족했습니다.
철원군 작은영화관,behlp8rxm,3,다양한 활동과 프로그램이 있어 좋았습니다.
가평군 상면생활체육공원,bbaezm1ax,5,시설이 현대적이고 깔끔합니다.
양구수목원,duxldhmve,5,시설이 매우 깔끔하고 현대적이었습니다.
대한안과의사회-천안김안과 천안역본점,miosk3tz3,3,휴식을 취하기에 최적의 장소입니다.
사릉,iutzzq3de,5,깨끗하고 편안했어요.
메가박스 원주,srkiyh359,3,편안하고 조용한 분위기에서 휴식을 취할 수 있었습니다.
인천광역시의료원,ogisyoh6o,3,친구들에게 추천할 만한 좋은 곳입니다.
나우리 요양병원,epwyyxb3h,3,다양한 편의시설이 있어 편리했습니다.
창원시 공영주차장,rpjlyh08j,5,가격 대비 만족도가 높았습니다.
수원이안과의원,mqklurvir,1,아이들과 함께하기에는 불편한 점이 많았습니다.
종로구 공영주차장,afjwc5g0j,2,자연과의 접촉이 부족했습니다.
상주시 보건소,feswvksnv,1,가격 대비 만족도가 낮았습니다.
광주시 공영주차장,cwmvp21y5,2,가격 대비 품질이 좋지 않았습니다.
상주시 낙동강역사이야기관,yrrmmv6lg,4,편리한 위치에 있어 접근하기 쉬웠습니다.
평창군 야영장,alsdc7e8z,2,가족 여행에 적합하지 않았습니다.
대한안과의사회 신촌 새빛안과 ,grhdruu6x,2,휴식을 취하기에는 적합하지 않았습니다.
대한안과의사회 에스안과 ,qwtehba1e,1,시설 내 모든 것이 정비되지 않았습니다.
우리안경콘택트,donnlr2yd,2,시설이 불편하고 깨끗하지 않았습니다.
강원효장례문화원,hwxqozktq,5,휴식을 취하기에 최적의 장소였습니다.
롯데시네마 제주삼화지구관,spxbwr9em,2,친구들과 함께 가기에는 적합하지 않았습니다.
한국민속촌,bqjwvhxbb,5,전망대에서 보는 풍경이 최고였습니다.
커피놀이터,zftddmb0s,3,다시 방문하고 싶어요.
인천광역시 중구 박물관,jeyipdgwp,5,시설 이용이 매우 편리하고 좋았습니다.
강릉원주대학교 치과병원,jqhljsjf3,5,자연 경관이 매우 아름답습니다.
천안중앙직업전문학교,agfrv2dnq,2,편안하고 조용한 분위기가 아니었습니다.
덕유산휴양림,hecbzatzl,1,전반적으로 만족스럽지 않았습니다.
강북구 보건소,asbzj39cq,2,시설이 낡고 깨끗하지 않았습니다.
과천시청 부설주차장,zswhflbjo,5,가성비가 좋습니다.
대한안과의사회_성모아이안과,imbqt1tlh,2,편의시설이 부족했습니다.
거창군 주차장,rxxev62rh,4,한 번쯤은 꼭 가볼 만한 곳입니다.
청주의료원,tzgza0vhy,5,자연 경관이 매우 아름답습니다.
전주동물원,ehywgxwod,4,편리한 위치에 있어 접근하기 쉬웠습니다.
보성군청소년문화의집,qoerr9s5r,5,서비스와 시설 모두 훌륭했습니다.
포천병원,quhicx4hn,4,가격 대비 매우 만족스러운 경험이었습니다.
과천시 청소년수련관,ikmozxfyf,5,시설 이용이 매우 편리하고 좋았습니다.
대구종합복지회관,rxxzif91l,5,시설이 매우 잘 관리되고 있었습니다.
담양군 보건소,qjqhne7py,2,시설의 청결 상태가 불만족스러웠습니다.
서복전시관,hltta4mb0,2,시설의 위치가 불편해서 접근성이 떨어졌습니다.
수영센텀치과,vkoshrfww,3,가격 대비 매우 만족스러운 경험이었습니다.
비자림,hpndpbato,4,시설의 청결 상태가 매우 좋았습니다.
